netid,name,duke_email,phone_number,affiliation,school,password
opd141,Michal Claibourn,opd141@duke.edu,5457619647,Undergraduate,Pratt,B4vYXJK
fjp321,Madel Ide,fjp321@duke.edu,1880788752,Undergraduate,Trinity,0n2ahnJtj0
xkj907,Ardra Garken,xkj907@duke.edu,7274115885,Undergraduate,Pratt,mF1zCRrK03u
wpb961,Wilbert Feldman,wpb961@duke.edu,1879937086,Undergraduate,Trinity,hZ2HP1JM
jxp559,Ebenezer Burling,jxp559@duke.edu,149592607,Undergraduate,Pratt,yEk9pP0cnSc
rhi544,Noami Van De Cappelle,rhi544@duke.edu,8913599602,Undergraduate,Trinity,QU2n2HASctS
mxr858,Farrel Glanvill,mxr858@duke.edu,5500594758,Undergraduate,Trinity,X4aG4votvj
hbp614,Ray Falloon,hbp614@duke.edu,1974435593,Undergraduate,Pratt,DoEYPj
ewk154,Ev Rotte,ewk154@duke.edu,1899270679,Undergraduate,Trinity,1ROJ2L
lno496,Emmerich Hexum,lno496@duke.edu,6564326182,Undergraduate,Trinity,obvTZC7
eup878,Valene Ramm,eup878@duke.edu,7014854864,Undergraduate,Trinity,kwVLbs4
edg061,Van Vallender,edg061@duke.edu,6035926774,Undergraduate,Pratt,TFDsrs9O3
rvx841,Amanda Poat,rvx841@duke.edu,8215462100,Undergraduate,Pratt,65L0KRYhQia7
yvl864,Tomi Roblett,yvl864@duke.edu,7927216426,Undergraduate,Pratt,hzusQoJS0
hsa999,Griffy Cumbridge,hsa999@duke.edu,6923083298,Undergraduate,Trinity,lmNOWx
mqx503,Christal Wealthall,mqx503@duke.edu,3298089838,Undergraduate,Trinity,AYhjTU1FNOp
tnw750,Fleurette Derdes,tnw750@duke.edu,3927446403,Undergraduate,Trinity,ISudYBg1b
uvk945,Charisse Piddington,uvk945@duke.edu,3717687875,Undergraduate,Pratt,XvK50IlCSC
yzm336,Wyn Stubley,yzm336@duke.edu,3919289986,Undergraduate,Trinity,Gt6JThCsN
klc737,Seumas Atwel,klc737@duke.edu,795621965,Undergraduate,Trinity,gjbVBfIpwmX
zjx420,Annemarie Elloway,zjx420@duke.edu,4641198967,Undergraduate,Pratt,ZhT6LhB
gin491,Jocko Ferrai,gin491@duke.edu,3792465629,Undergraduate,Trinity,lpmqqgz
gnh330,Kellen Ramas,gnh330@duke.edu,1188112719,Undergraduate,Trinity,CMY5bb
uhi686,Thomas Jepensen,uhi686@duke.edu,6072158554,Undergraduate,Pratt,Z9mAACLws9gz
elk567,Othilia Erb,elk567@duke.edu,204781454,Undergraduate,Pratt,yQoC0Bn6vDbZ
ljh717,Dodie Whittleton,ljh717@duke.edu,2359795579,Undergraduate,Trinity,ddr46FU3
bxn571,Yuma Garvill,bxn571@duke.edu,5489288358,Undergraduate,Pratt,vMvMrtzvgU
zfg316,Maynard Croxton,zfg316@duke.edu,5664939215,Undergraduate,Trinity,mDSL0sLI
xck911,Letty Master,xck911@duke.edu,7983581470,Undergraduate,Pratt,fF7xPYJt9hV
npm825,Jeremie Stickels,npm825@duke.edu,1629381377,Undergraduate,Pratt,cs2Qt02
gwr862,Francklyn Aubert,gwr862@duke.edu,6128431590,Undergraduate,Pratt,I9bIgL3Xr
tak908,Ervin Tiffney,tak908@duke.edu,6280633599,Undergraduate,Pratt,EPh3zhB
zpd175,Tootsie Stanier,zpd175@duke.edu,1075279156,Undergraduate,Trinity,28S0i8dlxOcn
bul750,Gerick Peagrim,bul750@duke.edu,9849032360,Undergraduate,Pratt,sUljuI5P
bnp699,Nikkie Lombard,bnp699@duke.edu,6284083613,Undergraduate,Trinity,qVCfkvlRq
xig806,Kathrine Hendricks,xig806@duke.edu,5832919248,Undergraduate,Trinity,Mduqkde
heb714,Marcella Flaherty,heb714@duke.edu,6701481390,Undergraduate,Trinity,cQLQ0z
zsq824,Amata Northgraves,zsq824@duke.edu,842015309,Undergraduate,Pratt,nDleLK
ulw836,Nobie Rihosek,ulw836@duke.edu,1275913943,Undergraduate,Pratt,KMTEOR5
hfk975,Billy Cunradi,hfk975@duke.edu,4943424154,Undergraduate,Pratt,Zn8QXABDRUo
aip273,Domingo Prose,aip273@duke.edu,3506610961,Undergraduate,Trinity,Ay6pS7AB2d7
vnm932,Rebecka Woodthorpe,vnm932@duke.edu,2378960767,Undergraduate,Trinity,3KGgcW
lpa634,Helena Galvan,lpa634@duke.edu,2804666101,Undergraduate,Trinity,qhA0UAZEvfo8
tmk823,Peria Cullinan,tmk823@duke.edu,7346620019,Undergraduate,Pratt,CLgXevcbi
ujx090,Giovanni Hubball,ujx090@duke.edu,5069711992,Undergraduate,Pratt,ed16jPxbLGgc
mjg534,Coral Cornelissen,mjg534@duke.edu,4119021563,Undergraduate,Trinity,HoxFOHH
nbg733,Jenica Gertray,nbg733@duke.edu,8382811507,Undergraduate,Trinity,EjUj6Jk3x
krg362,Gustave Kolakowski,krg362@duke.edu,2859520860,Undergraduate,Trinity,A5ImrTU0gu4w
pqr401,Grantham Stanmer,pqr401@duke.edu,5458368211,Undergraduate,Pratt,07sPLt
tmj720,Tierney Maundrell,tmj720@duke.edu,46141779,Undergraduate,Trinity,SQ0NVys4Ol
ctx439,Averyl Giacovelli,ctx439@duke.edu,1485420659,Undergraduate,Trinity,f6rveV
gld555,Darsey Malkie,gld555@duke.edu,3752987663,Undergraduate,Trinity,430D7IDLkJZ0
clb103,Curr Maddigan,clb103@duke.edu,9541813225,Undergraduate,Trinity,AHBSB3
cfh907,Lilian Gogerty,cfh907@duke.edu,3418077266,Undergraduate,Pratt,SCMB9u
qtc934,Faythe Tott,qtc934@duke.edu,2758388842,Undergraduate,Trinity,PeRCKY
niz145,Stern Lesley,niz145@duke.edu,2361557602,Undergraduate,Pratt,e4TVFtS
ntc052,Gabriele Kopec,ntc052@duke.edu,5219067544,Undergraduate,Pratt,C5Sxtwbbf
evn848,Tripp Udall,evn848@duke.edu,8622363890,Undergraduate,Trinity,2zIArpfUS
ixj974,Horton Courtin,ixj974@duke.edu,1392983855,Undergraduate,Pratt,AjYpcQfscnoc
jax452,Augustus Fantin,jax452@duke.edu,3474939789,Undergraduate,Trinity,rUBvOp3vue
wle365,Norrie Canceller,wle365@duke.edu,296305733,Undergraduate,Trinity,Lh6V4L
kjd959,Web Sporrij,kjd959@duke.edu,9975299662,Undergraduate,Pratt,vg6kfmtUEj
jqr521,Alanah Andriesse,jqr521@duke.edu,5975770669,Undergraduate,Pratt,z3qGMantscy
fwa645,Candra Broadis,fwa645@duke.edu,6522933577,Undergraduate,Trinity,vwM1cFO
oxg579,Sloane Olesen,oxg579@duke.edu,4833025990,Undergraduate,Trinity,NEOx1DOJWqaP
pbi307,Mada Appleton,pbi307@duke.edu,8251265243,Undergraduate,Trinity,hWasHWyIN8Nm
oyf528,Nathanial Beven,oyf528@duke.edu,8942086437,Undergraduate,Pratt,tHIgqM
fsx621,Lee Costock,fsx621@duke.edu,880707168,Undergraduate,Trinity,D3jnye7Fae
pmz031,Fifine Lob,pmz031@duke.edu,9254509086,Undergraduate,Trinity,sTOBxZ5kU
lsz586,Jeff Lidington,lsz586@duke.edu,540671800,Undergraduate,Trinity,oQAaQn
yfe906,Marcello Duffill,yfe906@duke.edu,1849031754,Undergraduate,Trinity,2806h3tOl
axf334,Gennifer Cureton,axf334@duke.edu,170422508,Undergraduate,Trinity,AaZep0hLba
ilz027,Norman Tal,ilz027@duke.edu,2833567240,Undergraduate,Trinity,ellq2YWc
hby017,Marybelle Huskinson,hby017@duke.edu,7932891008,Undergraduate,Trinity,mJyNh9rX86
zhb791,Chiquia Frostdicke,zhb791@duke.edu,8213485537,Undergraduate,Pratt,hFgJCnCGF
uhs586,Symon Croxton,uhs586@duke.edu,8972677246,Undergraduate,Pratt,amsQ3UH
shm243,Rurik Maggs,shm243@duke.edu,5784115446,Undergraduate,Pratt,CTMTEZaZ
svf319,Sheeree Leneve,svf319@duke.edu,5532623140,Undergraduate,Pratt,xOGk6DrVwS
bht710,Rachele Filip,bht710@duke.edu,6786032666,Undergraduate,Trinity,UieoG8ohBMZv
nsu780,Neysa Devericks,nsu780@duke.edu,8857744242,Undergraduate,Trinity,aRLGQ7V
uly351,Kit Hainey,uly351@duke.edu,2334957532,Undergraduate,Pratt,fCzdkXn
jyi375,Janos Ruoss,jyi375@duke.edu,4685672689,Undergraduate,Pratt,p4TYwQ
mkw100,Gardiner Umbert,mkw100@duke.edu,2468065181,Undergraduate,Trinity,1HbkdKcEf
qys390,Payton Guswell,qys390@duke.edu,8940405152,Undergraduate,Trinity,9dEJglwSYvZ
don078,Petunia Ayto,don078@duke.edu,5223504852,Undergraduate,Trinity,OXsHbvWBtT4
tjs783,Jordanna Phillpot,tjs783@duke.edu,1717427080,Undergraduate,Pratt,qMLYkqX
xjc434,Caddric Gallichiccio,xjc434@duke.edu,2331013835,Undergraduate,Pratt,XBxtL7H2F
afb262,Doy Oldfield,afb262@duke.edu,6871157577,Undergraduate,Trinity,2VeEo3m1LE
daq771,Jermaine Farnie,daq771@duke.edu,774498806,Undergraduate,Trinity,TCY1lT
upe042,Derron Driffe,upe042@duke.edu,5940562049,Undergraduate,Trinity,bfS1qTa0qwe
kre638,Sloane Suart,kre638@duke.edu,342340075,Undergraduate,Trinity,U5KME8rbep
svw301,Gino Dun,svw301@duke.edu,2614719244,Undergraduate,Pratt,TjYOpLL
mwh569,Conn Keay,mwh569@duke.edu,6949203128,Undergraduate,Pratt,Wrheob
iev321,Joy Loos,iev321@duke.edu,2103495068,Undergraduate,Trinity,g1p5dUc
gey944,Hilarius Barradell,gey944@duke.edu,1848182332,Undergraduate,Trinity,DbTHJw1drSU
nfo132,Tim Greschke,nfo132@duke.edu,8955101185,Undergraduate,Pratt,O3GOiWLeVOyW
loe955,Alverta Ecles,loe955@duke.edu,5262077304,Undergraduate,Trinity,zYmR3louEOQm
ced927,Paxton Dumingos,ced927@duke.edu,6795257860,Undergraduate,Pratt,wPksU6
bec515,Alexa Burgill,bec515@duke.edu,7266928957,Undergraduate,Trinity,Z2wGn3agi
edp618,Elfrieda Revan,edp618@duke.edu,2790517205,Undergraduate,Pratt,IszcYS
vip287,Janka Le Maitre,vip287@duke.edu,3809422183,Undergraduate,Pratt,ljAx1Pc
thd168,Patten Fullick,thd168@duke.edu,5011007068,Undergraduate,Trinity,vCpf2PIfpQtI
txk066,Dulcie Gerg,txk066@duke.edu,8361250785,Undergraduate,Trinity,XX5DMh1X
vuz618,Charley Ferrao,vuz618@duke.edu,2495721397,Undergraduate,Trinity,uQHo5RBHEID
kth541,Peirce Druitt,kth541@duke.edu,7926593038,Undergraduate,Trinity,UBv2S3
prm991,Bernardo Andrzejewski,prm991@duke.edu,4367539469,Undergraduate,Trinity,PJMB6Zomz
mes237,Margery Le Fleming,mes237@duke.edu,4471116112,Undergraduate,Trinity,91zJBIK
tnx906,Sallee Mallan,tnx906@duke.edu,3089233168,Undergraduate,Trinity,UxJMc6Fix
zlb321,Peyton Kelby,zlb321@duke.edu,3116567680,Undergraduate,Trinity,12S7Khl
euj374,Milzie Tull,euj374@duke.edu,2436186561,Undergraduate,Trinity,adfZ48iVpkDk
shz842,Teressa Feeney,shz842@duke.edu,1507679362,Undergraduate,Pratt,Q2UidfozWFr
veh811,Fay Bumpus,veh811@duke.edu,3585375495,Undergraduate,Pratt,Ics4qi9
ivw118,Jay Denholm,ivw118@duke.edu,5596049698,Undergraduate,Pratt,MezFeXoJP
ths560,Artie Castaner,ths560@duke.edu,2069685189,Undergraduate,Pratt,t0p0iAut
kqu584,Hermon Adnett,kqu584@duke.edu,9427324804,Undergraduate,Pratt,Kimp9R
dxj758,Merrel McGoldrick,dxj758@duke.edu,4634618078,Undergraduate,Pratt,4BowZz
tle883,Jordan Ville,tle883@duke.edu,4765954480,Undergraduate,Trinity,0Z1XYTh9mmm
uwp212,Tasia Hause,uwp212@duke.edu,8367921504,Undergraduate,Trinity,za3RDItkZfYp
jsv063,Jonathon Meatcher,jsv063@duke.edu,3809676151,Undergraduate,Trinity,uiFcRFS
xpy362,Debbi Bertenshaw,xpy362@duke.edu,5461872086,Undergraduate,Trinity,3B4HiSr
gyx836,Evania Elis,gyx836@duke.edu,1107930799,Undergraduate,Trinity,5oBh77uyISFH
fwi422,Meyer MacQueen,fwi422@duke.edu,3833406026,Undergraduate,Pratt,KWwGtWK
zlu725,Garek Whitney,zlu725@duke.edu,3884375814,Undergraduate,Pratt,uLhrda
wmx431,Levey Cowburn,wmx431@duke.edu,6327440954,Undergraduate,Trinity,7Hdo28f7ydPj
uiz435,Minette Jerman,uiz435@duke.edu,4555221622,Undergraduate,Pratt,wZ3FeCYk
cpb397,Karel Petren,cpb397@duke.edu,5743729710,Undergraduate,Pratt,72tz9A0pod
jwa124,Bartlet Damiral,jwa124@duke.edu,8345101862,Undergraduate,Pratt,G6M3XUQ2
ikn886,Hymie Varnals,ikn886@duke.edu,386855392,Undergraduate,Trinity,8XzSs1rHNA
rls258,Domeniga Scopes,rls258@duke.edu,1722199578,Undergraduate,Pratt,So3OSIHNu
iwh719,Arron Kitchen,iwh719@duke.edu,7977349900,Undergraduate,Pratt,Pc7wbhgzlV
uac817,Andy Weben,uac817@duke.edu,3640719727,Undergraduate,Trinity,0SRP687v
cgb569,Derward Casazza,cgb569@duke.edu,8961869522,Undergraduate,Pratt,58SE8yu
per275,Vittorio Probey,per275@duke.edu,5490103801,Undergraduate,Pratt,ePqpt2w
dxm849,Tito Innocent,dxm849@duke.edu,336140174,Undergraduate,Trinity,crCsYOMUD3
ixy767,Lucienne Deakan,ixy767@duke.edu,8756689097,Undergraduate,Pratt,mAOggGhV
fsh557,Nestor Jacketts,fsh557@duke.edu,4480677329,Undergraduate,Pratt,4Fpjt32oPtnr
dyr338,Erroll Goucher,dyr338@duke.edu,8680565296,Undergraduate,Pratt,JlWfshAq
tns336,Nerty Pulhoster,tns336@duke.edu,9941506632,Undergraduate,Trinity,4zNlHjsBPa
epk937,Enos Huggens,epk937@duke.edu,2617294112,Undergraduate,Trinity,iBoYZxZl
opa162,Fannie Paolucci,opa162@duke.edu,9881011083,Undergraduate,Trinity,lCM3bYih4
pvu583,Decca Vear,pvu583@duke.edu,327951467,Undergraduate,Trinity,rBKytqJl
yle971,Thomasin Wackley,yle971@duke.edu,5143615888,Undergraduate,Pratt,nhwcIS8L
fax803,Kathryne Pohl,fax803@duke.edu,1832638961,Undergraduate,Pratt,6J7XHoV
cvx956,Heda Gwyther,cvx956@duke.edu,7967705115,Undergraduate,Trinity,RVviGdvz
xzv394,Clint Zimmermanns,xzv394@duke.edu,6598852783,Undergraduate,Pratt,FL5gypyT
net535,Maisey Cadlock,net535@duke.edu,1806768935,Undergraduate,Trinity,9WSvkO4O9W
rdl185,Janelle Crepin,rdl185@duke.edu,720663273,Undergraduate,Trinity,g18t7Fv
rhm245,Estele Bum,rhm245@duke.edu,3662834666,Undergraduate,Pratt,pqpcSvvXSg55
oul434,Markos Swigg,oul434@duke.edu,1992489559,Undergraduate,Pratt,q2EZlq3G
rwg057,Aurelie Torbett,rwg057@duke.edu,5240706775,Undergraduate,Trinity,mzfC8GthbPJ
yxp275,Lorene While,yxp275@duke.edu,1572084493,Undergraduate,Trinity,Ts1TwDe9
rah390,Paulette Di Maggio,rah390@duke.edu,8108019765,Undergraduate,Pratt,4pEkXWAKwRQ
dxa533,Raphaela Jurzyk,dxa533@duke.edu,9914118268,Undergraduate,Pratt,UB0Zy9
nzc517,Ermengarde Duddan,nzc517@duke.edu,2921161129,Undergraduate,Pratt,BnVuVUCMlYiM
kgd893,Samson Raise,kgd893@duke.edu,8716639701,Undergraduate,Pratt,4PpA0pM
blg605,Burch MacDonnell,blg605@duke.edu,3800115196,Undergraduate,Pratt,LMUMRyxF
gxa593,Harmonie McGroarty,gxa593@duke.edu,1137674340,Undergraduate,Trinity,ZbW1zdT
pqn397,Rayner Dobrowolny,pqn397@duke.edu,1721641156,Undergraduate,Trinity,wBaqXviOq
qej207,Christos Gillooly,qej207@duke.edu,4570296548,Undergraduate,Trinity,k4fqlV2LK
uxe762,Debbi Grute,uxe762@duke.edu,2344451027,Undergraduate,Trinity,d7lVZBLdIAp7
ukw444,Jorgan Georghiou,ukw444@duke.edu,5061607067,Undergraduate,Pratt,DD3A6n
oye181,Elbert Voice,oye181@duke.edu,276853197,Undergraduate,Pratt,uk1RO8LKWB
usb296,Georgette Crisell,usb296@duke.edu,136159320,Undergraduate,Trinity,QIcbn2vI
rnf094,Suzy Grombridge,rnf094@duke.edu,4240039287,Undergraduate,Pratt,7FjzoHhvU2P
qdp489,Paloma Snowden,qdp489@duke.edu,35161283,Undergraduate,Trinity,ogcMGdv4d
htl348,Aaren Rooke,htl348@duke.edu,8667255170,Undergraduate,Trinity,qOr9lwcdr
kuo557,Joanne Ornells,kuo557@duke.edu,9755073911,Undergraduate,Trinity,OhhGyhL60who
jkm550,Kacie Rentcome,jkm550@duke.edu,6953554648,Undergraduate,Trinity,9r8IGb
tgm205,Bessy Ludee,tgm205@duke.edu,6228224989,Undergraduate,Trinity,Im3Sbgt7NFv
bdv230,Fern Wilds,bdv230@duke.edu,5436763981,Undergraduate,Pratt,dy5QfG
oiw648,Romona Hembry,oiw648@duke.edu,9954782288,Undergraduate,Pratt,pQu0Br2jFd
qri721,Taite Ranvoise,qri721@duke.edu,9795906771,Undergraduate,Pratt,wpRbex
ert987,Ozzy Maddams,ert987@duke.edu,9116419025,Undergraduate,Pratt,sGKicCQIosVJ
qch171,Maurita Heffernon,qch171@duke.edu,6942685493,Undergraduate,Trinity,rQJ8YeW7AG2J
rqx936,Clevey Baggallay,rqx936@duke.edu,6254334945,Undergraduate,Trinity,KWBS1i
jel833,Rodd Carlile,jel833@duke.edu,7880552941,Undergraduate,Trinity,OymjHnuWx
ohv698,Robina Neath,ohv698@duke.edu,4835591321,Undergraduate,Pratt,iHBL2C6M6
zye090,Lotty Stewart,zye090@duke.edu,6813284707,Undergraduate,Pratt,SfmkX3ZMTCU
zhp602,Shelby Mankor,zhp602@duke.edu,6576315769,Undergraduate,Trinity,6b3wA6Xpvxx
vda127,Daren Shilton,vda127@duke.edu,6649154375,Undergraduate,Pratt,7kvrhTs5
ohn421,Muhammad Titchen,ohn421@duke.edu,2729989422,Undergraduate,Trinity,9F1rKY0TsDt
qem919,Larry Pounsett,qem919@duke.edu,8806879283,Undergraduate,Pratt,MEAllY6aT3vq
owl225,Danie Fitzharris,owl225@duke.edu,6488447112,Undergraduate,Pratt,87otOIz9
vmo246,Falito Nicely,vmo246@duke.edu,5155255497,Undergraduate,Pratt,rc9xqo3DHi
tfb514,Lorain Bosson,tfb514@duke.edu,3441733824,Undergraduate,Trinity,lwcK5Qt
ogv749,Olga Stanyard,ogv749@duke.edu,3371823426,Undergraduate,Trinity,XyqfVaf
drq874,Arvie Treuge,drq874@duke.edu,5884762107,Undergraduate,Trinity,VR4rbUA
dym496,Nickolaus Crissil,dym496@duke.edu,1368421865,Undergraduate,Pratt,nJgZSJ9XLLd
zok463,Henka Care,zok463@duke.edu,5835901767,Undergraduate,Trinity,4QhmiawLSM3Z
url309,Deanna Muggleston,url309@duke.edu,9443240137,Undergraduate,Trinity,6WGgpfbbg
zmc135,Kareem Gosney,zmc135@duke.edu,9591990054,Undergraduate,Pratt,KL0fK9
fre002,Romona Firidolfi,fre002@duke.edu,8437611309,Undergraduate,Trinity,GjBHqZ
acx460,Mirabella Upson,acx460@duke.edu,551061204,Undergraduate,Pratt,v8u9S5h0E
niv575,Jessika Bennoe,niv575@duke.edu,4076591969,Undergraduate,Trinity,i33qcGys
afe319,Vachel Pesterfield,afe319@duke.edu,8511628019,Undergraduate,Trinity,JJppPndtolF
sbd176,Orelee Galsworthy,sbd176@duke.edu,9047968993,Undergraduate,Pratt,s12lSOrN
cmo461,Friedrick Lamport,cmo461@duke.edu,7665428376,Undergraduate,Pratt,JlvrFS
jqo469,Greggory Franc,jqo469@duke.edu,2278574404,Undergraduate,Trinity,fWNEr3Gsx4s3
qkl654,Kissee Gilpin,qkl654@duke.edu,5334382460,Undergraduate,Trinity,iVxQ8t9
tcp288,Gertie Paprotny,tcp288@duke.edu,9991580536,Undergraduate,Pratt,zVPKBIJiBkZ
fdz507,Saul Ivakin,fdz507@duke.edu,6673803291,Undergraduate,Trinity,kvw4cHcXYzm9
rtj567,Corey Tynemouth,rtj567@duke.edu,8546721475,Undergraduate,Trinity,Zggk3gGKgZ
cro264,Brina Birts,cro264@duke.edu,589988328,Undergraduate,Trinity,3B0fZXuT
ktr082,Elnore Peeke-Vout,ktr082@duke.edu,3022778763,Undergraduate,Trinity,WQiYv6s9
nwb640,Ludvig Lidierth,nwb640@duke.edu,6361414436,Undergraduate,Pratt,scnFy2nML
frg037,Tremayne Nials,frg037@duke.edu,6578768348,Undergraduate,Pratt,dGOLuUu5gsuv
czy003,Osborne Matokhnin,czy003@duke.edu,9616773983,Undergraduate,Pratt,IYKk1KzCcXl
xrv278,Mitchel Breckwell,xrv278@duke.edu,1940690206,Undergraduate,Trinity,fx23P3
yet059,Gideon Wimmer,yet059@duke.edu,655195986,Undergraduate,Trinity,5lvICsO90vT
hpu086,Giraud Loveland,hpu086@duke.edu,3740924094,Undergraduate,Pratt,mCsNbbZS9
sig013,Stafford Lowensohn,sig013@duke.edu,7795341798,Undergraduate,Trinity,XS0OJL
wdz177,Burk Kefford,wdz177@duke.edu,8926494044,Undergraduate,Trinity,Au7nx0N6p0t
umj015,Marlowe Cornuau,umj015@duke.edu,2415836421,Undergraduate,Pratt,RaCt41
dcv435,Fulton Dugan,dcv435@duke.edu,1101148307,Undergraduate,Trinity,YP3b4FgO
bhd730,Gillie Laidlaw,bhd730@duke.edu,3568467827,Undergraduate,Trinity,4pAV5SYwXtT
kmc405,Jo ann Joyson,kmc405@duke.edu,345900992,Undergraduate,Trinity,dqEXNm1h
pto035,Silvester Cumbridge,pto035@duke.edu,1832819162,Undergraduate,Pratt,n6NzPrr
lxm812,Neely Elizabeth,lxm812@duke.edu,55249997,Undergraduate,Trinity,SQlWiDl
zuq783,Carma Cuchey,zuq783@duke.edu,4426517100,Undergraduate,Trinity,BDLIvvWG4
mhb185,Robby Desport,mhb185@duke.edu,7199186648,Undergraduate,Trinity,Kpmk7F
pjr925,Manolo Rutt,pjr925@duke.edu,7541427931,Undergraduate,Pratt,YUxEr9CIbbk0
jbt038,Dinah Shanklin,jbt038@duke.edu,7037602817,Undergraduate,Trinity,KHsgg3WWx5lS
vmg590,Ami Sterndale,vmg590@duke.edu,7934162994,Undergraduate,Pratt,1WUHDm
vbo686,Elissa Roistone,vbo686@duke.edu,8278486194,Undergraduate,Trinity,ozeB0e7PvYxv
slo834,Tony Jeram,slo834@duke.edu,2850386327,Undergraduate,Pratt,AQ4mfj
eoa417,Christalle Diano,eoa417@duke.edu,275921586,Undergraduate,Trinity,kE2IDEOpK7rJ
zit390,Eldin Eaglen,zit390@duke.edu,144551858,Undergraduate,Pratt,zaWmTxxB
efi496,Dunc Dallimore,efi496@duke.edu,382757019,Undergraduate,Pratt,WXsggjElvwb7
cyp747,Lynett Gotmann,cyp747@duke.edu,3955078796,Undergraduate,Trinity,HBWMuuSZtsaW
yro213,Mose Roland,yro213@duke.edu,2814437684,Undergraduate,Pratt,qFm3Rh
uwp036,Jeffie Docksey,uwp036@duke.edu,5445905154,Undergraduate,Trinity,YEXUoPTV4
aub188,Tynan Hurl,aub188@duke.edu,9802378897,Undergraduate,Pratt,argc74V6494
tng174,Errol Blackaller,tng174@duke.edu,88559143,Undergraduate,Trinity,PvMArmXP
ohb507,Renae Weld,ohb507@duke.edu,1586505028,Undergraduate,Pratt,gVhnQQFyx
kwd823,Papagena Lipson,kwd823@duke.edu,4864458084,Undergraduate,Trinity,dyOYI5dt6l
che169,Darb Parell,che169@duke.edu,5274205402,Undergraduate,Trinity,T0Y8jnGBd
leo398,Clive Rozier,leo398@duke.edu,4758618155,Undergraduate,Trinity,fZjqZ3SS
ght802,Luella Sperling,ght802@duke.edu,441151608,Undergraduate,Pratt,Hr48do
mwn011,Katy Toppes,mwn011@duke.edu,4330374566,Undergraduate,Pratt,j3I0Lz
iyz758,Flo Kean,iyz758@duke.edu,3625628564,Undergraduate,Trinity,lEF2jsTW
tku785,Kaitlin Gouge,tku785@duke.edu,4292942556,Undergraduate,Pratt,cYsGXfv
fga265,Isabella Kemm,fga265@duke.edu,758144190,Undergraduate,Pratt,1rtSBtJaPuO
pum270,Adrian Asker,pum270@duke.edu,851991592,Undergraduate,Pratt,KMvu6n2a2h
zmk713,Brannon Armor,zmk713@duke.edu,1132867362,Undergraduate,Trinity,upC51WyP
umh009,Logan Craigg,umh009@duke.edu,494778223,Undergraduate,Trinity,x3AVBe2RCps
dve525,Sonja Carlett,dve525@duke.edu,1567446350,Undergraduate,Pratt,OurYgfJMV
zod396,Kristoforo Branney,zod396@duke.edu,8798692394,Undergraduate,Pratt,ebPT0hnVOpNs
syk239,Laryssa Duesberry,syk239@duke.edu,1126154518,Undergraduate,Trinity,27oF7uQAl
dga933,Harmonia Alday,dga933@duke.edu,9816486562,Undergraduate,Pratt,jDVMhlZLR
puo261,Lindon Sinclaire,puo261@duke.edu,8272347304,Undergraduate,Trinity,CtYj0QBckle
dny186,Daven Dwelley,dny186@duke.edu,5644070624,Undergraduate,Trinity,R8Wkokt
srz556,Arleta Kibbey,srz556@duke.edu,9643401500,Undergraduate,Pratt,R5Aunte9KoK
ryh799,Base Hitcham,ryh799@duke.edu,7347117961,Undergraduate,Pratt,EZXHqGzAm0w9
qrt066,Ezechiel Gailor,qrt066@duke.edu,7329626624,Undergraduate,Trinity,IQbsDouUvDW
kwh110,Elinore Ivamy,kwh110@duke.edu,2271608099,Undergraduate,Trinity,UdchuQDJDJh
vlu815,Belinda Ivantyev,vlu815@duke.edu,5264976141,Undergraduate,Trinity,OLRrZb
sac756,Atlanta Goldney,sac756@duke.edu,9136362395,Undergraduate,Trinity,DeIFawF9yrb
nlo515,Issi Coulthard,nlo515@duke.edu,8143565894,Undergraduate,Trinity,24asNHySbwj
sdr781,Emma Wolstencroft,sdr781@duke.edu,6232122914,Undergraduate,Trinity,61pAcm
rsa222,Maddy Pincked,rsa222@duke.edu,2616671150,Undergraduate,Trinity,Z9Icqd
fwj075,Arte Wathall,fwj075@duke.edu,7618380855,Undergraduate,Pratt,Iglj3LA8b
ryk579,Evin Raisher,ryk579@duke.edu,1835869703,Undergraduate,Pratt,7vVruTuvHEG3
ame565,Dredi Demeter,ame565@duke.edu,8034647191,Undergraduate,Pratt,2reuKbn3P
nsc873,Della Garthside,nsc873@duke.edu,9204517047,Undergraduate,Trinity,svBpySr
fpy454,Vikky Skillett,fpy454@duke.edu,5310364643,Undergraduate,Trinity,JxmWoBpt
nua793,Darice Sired,nua793@duke.edu,1357073395,Undergraduate,Trinity,EpZJdaHlk
aqn183,Calla Macauley,aqn183@duke.edu,6363296213,Undergraduate,Pratt,PdV1zLX
pma696,Kyle Isacke,pma696@duke.edu,6135737111,Undergraduate,Pratt,NqkJv9qY55R
qph884,Quintilla Isson,qph884@duke.edu,7058932704,Undergraduate,Pratt,b63MbxoP
rlz119,Teador De la Yglesia,rlz119@duke.edu,8758286882,Undergraduate,Pratt,FD5I9xQk
mpk816,Zena Poat,mpk816@duke.edu,8331159514,Undergraduate,Pratt,k4h2mX
abt537,Valene Shrieve,abt537@duke.edu,1293033524,Undergraduate,Pratt,HMb7aU4gPdX
jha602,Rikki O'Lunney,jha602@duke.edu,5290860015,Undergraduate,Pratt,aTtv8D912
prn228,Vitia Akrigg,prn228@duke.edu,6074449663,Undergraduate,Pratt,0vtLLLPryS
wsr702,Sherman Gueny,wsr702@duke.edu,6135643284,Undergraduate,Trinity,JLRuj9XOK
